side,month,class,boundary,s4,e4,rows,s3,e3,rows_right,d_strict,d_equal
corrected,2025-01,mbo_ask_add,decision_T,0,1,598227,0,1,598227,0,0
corrected,2025-01,mbo_ask_cancel,decision_T,0,3,598227,0,3,598227,0,0
corrected,2025-01,mbo_bid_add,decision_T,0,0,598227,0,1,598227,0,-1
corrected,2025-01,mbo_bid_cancel,decision_T,0,1,598227,0,1,598227,0,0
corrected,2025-01,mbo_cancel_any,decision_T,0,4,598227,0,4,598227,0,0
corrected,2025-08,mbo_all,decision_T,0,5,540530,0,7,540530,0,-2
corrected,2025-08,mbo_all_rows,decision_T,0,5,540530,0,7,540530,0,-2
corrected,2025-08,mbo_ask_add,decision_T,0,0,540530,0,0,540530,0,0
corrected,2025-08,mbo_ask_cancel,decision_T,0,1,540530,0,1,540530,0,0
corrected,2025-08,mbo_bid_add,decision_T,0,0,540530,0,2,540530,0,-2
corrected,2025-08,mbo_bid_cancel,decision_T,0,4,540530,0,4,540530,0,0
corrected,2025-08,mbo_cancel_any,decision_T,0,5,540530,0,5,540530,0,0
corrected,2025-09,mbo_all,decision_T,0,5,549430,0,5,549430,0,0
corrected,2025-09,mbo_all_rows,decision_T,0,5,549430,0,5,549430,0,0
corrected,2025-09,mbo_ask_add,decision_T,0,1,549430,0,1,549430,0,0
corrected,2025-09,mbo_ask_cancel,decision_T,0,1,549430,0,1,549430,0,0
corrected,2025-09,mbo_bid_add,decision_T,0,0,549430,0,0,549430,0,0
corrected,2025-09,mbo_bid_cancel,decision_T,0,3,549430,0,3,549430,0,0
corrected,2025-09,mbo_cancel_any,decision_T,0,4,549430,0,4,549430,0,0
corrected,2025-10,mbo_all,decision_T,0,5,590785,0,5,590785,0,0
corrected,2025-10,mbo_all_rows,decision_T,0,5,590785,0,5,590785,0,0
corrected,2025-10,mbo_ask_add,decision_T,0,1,590785,0,1,590785,0,0
corrected,2025-10,mbo_ask_cancel,decision_T,0,1,590785,0,1,590785,0,0
corrected,2025-10,mbo_bid_add,decision_T,0,1,590785,0,1,590785,0,0
corrected,2025-10,mbo_bid_cancel,decision_T,0,2,590785,0,2,590785,0,0
corrected,2025-10,mbo_cancel_any,decision_T,0,3,590785,0,3,590785,0,0
corrected,2025-11,mbo_all,decision_T,0,3,550463,0,3,550463,0,0
corrected,2025-11,mbo_all_rows,decision_T,0,3,550463,0,3,550463,0,0
corrected,2025-11,mbo_ask_add,decision_T,0,2,550463,0,2,550463,0,0
corrected,2025-11,mbo_ask_cancel,decision_T,0,1,550463,0,1,550463,0,0
corrected,2025-11,mbo_bid_add,decision_T,0,0,550463,0,0,550463,0,0
corrected,2025-11,mbo_bid_cancel,decision_T,0,0,550463,0,0,550463,0,0
corrected,2025-11,mbo_cancel_any,decision_T,0,1,550463,0,1,550463,0,0
corrected,2025-12,mbo_all,decision_T,0,5,620107,0,5,620107,0,0
corrected,2025-12,mbo_all_rows,decision_T,0,6,620107,0,6,620107,0,0
corrected,2025-12,mbo_ask_add,decision_T,0,0,620107,0,0,620107,0,0
corrected,2025-12,mbo_ask_cancel,decision_T,0,2,620107,0,2,620107,0,0
corrected,2025-12,mbo_bid_add,decision_T,0,2,620107,0,2,620107,0,0
corrected,2025-12,mbo_bid_cancel,decision_T,0,2,620107,0,2,620107,0,0
corrected,2025-12,mbo_cancel_any,decision_T,0,3,620107,0,3,620107,0,0
